NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
144,94.5,89.5,1107147.0,200389.0,0,0.0
145,89.0,90.0,676608.0,172620.0,1,0.0
146,95.2,95.0,290167.0,219641.0,2,4.0
148,95.8,100.0,409175.0,531823.0,1,0.0
149,97.2,94.4,271526.0,323441.0,3,0.0
150,100.0,83.9,275050.0,201958.0,0,3.0
151,92.1,97.3,304061.0,405639.0,1,1.0
152,90.9,92.3,213737.0,192577.0,0,0.0
153,96.1,98.3,257312.0,310974.0,4,2.0
154,95.8,90.9,349851.0,264655.0,1,0.0
155,96.8,79.3,242590.0,259372.0,0,3.0
156,95.2,91.9,329087.0,223022.0,0,0.0
158,93.8,89.2,405518.0,181167.0,3,10.0
159,97.0,87.5,301515.0,138472.0,0,9.0
160,100.0,78.6,542213.0,171911.0,2,8.0
161,100.0,81.5,518758.0,777972.0,0,1.0
162,84.0,84.6,362646.0,178158.0,1,0.0
163,93.3,57.1,400781.0,431966.0,28,1.0
164,95.4,71.1,395623.0,271007.0,3,9.0
165,97.2,90.5,322156.0,165180.0,3,0.0
166,87.6,100.0,581477.0,181923.0,1,1.0
168,95.6,90.0,278200.0,178365.0,1,3.0
169,100.0,98.0,522000.0,318599.0,1,1.0
170,90.7,100.0,272450.0,422494.0,2,0.0
171,97.7,92.3,276069.0,428528.0,8,0.0
172,96.4,100.0,272433.0,392009.0,2,0.0
173,95.5,78.6,1401196.0,159595.0,5,0.0
174,93.7,90.3,382500.0,219924.0,2,2.0
175,91.6,100.0,257640.0,403421.0,0,0.0
176,98.2,98.0,381147.0,358567.0,1,0.0
177,97.3,100.0,243738.0,494659.0,0,1.0
178,96.0,90.9,305083.0,303653.0,10,5.0
179,97.6,100.0,266979.0,654447.0,1,0.0
180,89.6,87.5,334864.0,196357.0,2,2.0
181,96.7,95.5,542350.0,501487.0,1,0.0
182,95.0,100.0,528237.0,224417.0,4,4.0
183,100.0,83.3,346814.0,203167.0,0,2.0
184,97.3,80.0,280989.0,587085.0,1,0.0
186,94.8,89.7,537674.0,182581.0,2,3.0
187,100.0,100.0,640647.0,440750.0,3,0.0
188,96.4,100.0,290948.0,381926.0,1,0.0
189,95.7,100.0,596958.0,792111.0,2,0.0
190,100.0,100.0,505042.0,133488.0,2,7.0
191,99.4,94.4,371783.0,228496.0,1,1.0
192,94.3,93.5,329514.0,258290.0,1,6.0
